horizon_months,log_diesel<-log_diesel,log_diesel<-log_freight,log_diesel<-log_maintenance,log_diesel<-log_labor,log_diesel<-log_volume,log_freight<-log_diesel,log_freight<-log_freight,log_freight<-log_maintenance,log_freight<-log_labor,log_freight<-log_volume,log_maintenance<-log_diesel,log_maintenance<-log_freight,log_maintenance<-log_maintenance,log_maintenance<-log_labor,log_maintenance<-log_volume,log_labor<-log_diesel,log_labor<-log_freight,log_labor<-log_maintenance,log_labor<-log_labor,log_labor<-log_volume,log_volume<-log_diesel,log_volume<-log_freight,log_volume<-log_maintenance,log_volume<-log_labor,log_volume<-log_volume
0,0.04412393340917083,0.0,0.0,0.0,0.0,0.003930196494123,0.013687528760753956,0.0,0.0,0.0,0.000291279046499141,-0.0007541717818066611,0.004237564077787856,0.0,0.0,0.00026865990288157845,-2.5250307995466673e-05,0.00027957201169399675,0.005903466516214086,0.0,0.0008453464924379724,0.00047464333551094755,0.00032439542620692625,-0.0012968144155596532,0.014184710555544097
1,0.043383647607062405,0.0003456496771949293,-0.00013321987338543327,9.049106450219217e-05,-0.00016844504949704297,0.003920111075262655,0.013678387380278597,-4.522592330982488e-06,-2.03547512453519e-06,6.342143535135634e-06,0.0002948997511017791,-0.000754845723431162,0.00425843308794013,3.846901480764246e-06,1.1873249109528854e-06,0.00027272062913786036,-2.2043679794926912e-05,0.00028762820768999634,0.005919692878050855,2.155389573881283e-06,0.0008390202213474494,0.0004722124383122972,0.00030387745855573747,-0.001298108011386444,0.014112742253373953
2,0.04265686894423108,0.0006847577912442056,-0.0002643847798890244,0.00017935543843763385,-0.00033276793659254666,0.003910145497776032,0.013669195574580836,-9.054016356999395e-06,-4.092871676933413e-06,1.2672900934199958e-05,0.0002985197323752781,-0.0007555144186779335,0.00427940320752683,7.725119225866433e-06,2.3730582266168908e-06,0.00027677109822767234,-1.8821695562392122e-05,0.00029573359418835895,0.005935972947484706,4.304608185374659e-06,0.000832697995629242,0.0004697991178624437,0.00028336117666629676,-0.0012994318436030296,0.014041127368344722
3,0.04194334951896436,0.0010174443309765727,-0.00039353562577488713,0.00026662283877534334,-0.0004930496439065993,0.003900297486329803,0.013659954440811618,-1.359472000131233e-05,-6.171970195925649e-06,1.899177316782507e-05,0.00030213934147079775,-0.0007561780034936751,0.004300475011534261,1.1634794198650349e-05,3.557317434150506e-06,0.00028081174837201595,-1.558452480990315e-05,0.0003038885430076265,0.005952306864015648,6.4478165523134134e-06,0.0008263799519160747,0.00046740317177952693,0.0002628460929552026,-0.001300785982207015,0.013969864177075745
4,0.041242845967644826,0.001343827089695495,-0.0005207125765634418,0.00035232243454508646,-0.0006493696446052732,0.003890564807073089,0.013650665055938397,-1.8145145151316832e-05,-8.272556423261758e-06,2.529827377832985e-05,0.00030575892491017134,-0.0007568366114023765,0.0043216490768471895,1.5576068922222257e-05,4.740218438910982e-06,0.00028484301102802453,-1.2332333621204269e-05,0.0003120934264642258,0.0059686947687753915,8.58517304805552e-06,0.0008200662214732484,0.0004650244007666043,0.00024233171890271414,-0.0013021704973227547,0.01389895096330797
5,0.040555119381665214,0.0016640217053632638,-0.0006459550706729729,0.000436482856852747,-0.000801805930171241,0.0038809452668746515,0.013641328477114242,-2.2705727785807494e-05,-1.0394421213097829e-05,3.159192863096297e-05,0.00030937882467998464,-0.0007574903735498199,0.004342925982278049,1.9549087473408656e-05,5.9218755959571105e-06,0.0002888653110188603,-9.065284713804615e-06,0.0003203486174024055,0.005985136804515451,1.0716833745305924e-05,0.0008137569303019489,0.00046266260855821366,0.0002218175650563766,-0.0013035854592153041,0.01382838601789373
6,0.039879935225864256,0.0019781417000495935,-0.0007693018328117026,0.0005191322087122432,-0.0009504350376653945,0.00387143671257406,0.013631945742040194,-2.7276898099972725e-05,-1.2537360443072486e-05,3.787227566978668e-05,0.0003129993783239812,-0.0007581394187472679,0.004364306308595933,2.3553995476943675e-05,7.102401740990897e-06,0.00029287906666126636,-5.783537499901768e-06,0.00032865448922383245,0.006001633115595557,1.2842952459151227e-05,0.0008074521992405908,0.0004603176018678998,0.0002013031410343205,-0.0013050309383041546,0.01375816763878609
7,0.039217063258455476,0.0022862985186581737,-0.0008907908871249495,0.0006002980746973467,-0.0010953320764887852,0.003862037030246557,0.013622517869320987,-3.1859080628161185e-05,-1.470117492704141e-05,4.413886467811603e-05,0.0003166209190338254,-0.0007587838735143525,0.004385790638555397,2.7590940099882504e-05,8.281908220748471e-06,0.0002968846898908154,-2.4872481461882497e-06,0.00033701141591685496,0.006018183847972363,1.4963680789321215e-05,0.0008011521440642334,0.0004579891903366848,0.00018078795552824059,-0.0013065070051767548,0.013688294131027783
8,0.03856627745242165,0.0025886015669443914,-0.0010104595701018568,0.0006800075304167011,-0.0012365707546540365,0.003852744144481375,0.01361304585881426,-3.645269436446118e-05,-1.68856703294398e-05,5.0391257043429563e-05,0.00032024377573825337,-0.0007594238621211789,0.004407379556925065,3.166007004623738e-05,9.460504922850381e-06,0.0003008825863848985,8.234303674385949e-07,0.0003454197720854403,0.0060347891491884485,1.707916816169141e-05,0.0007948568755821018,0.0004556771864824671,0.00016027151630606002,-0.0013080137306018254,0.01361876380673972
9,0.03792735591834802,0.002885158248837198,-0.0011283445432460945,0.0007582871518152745,-0.0013742234045752088,0.0038435560176732614,0.013603530691973375,-4.1058152881133363e-05,-1.909065708124312e-05,5.66290255266693e-05,0.000323868273190642,-0.0007600595066296585,0.004429073650516054,3.5761535551832616e-05,1.0638300305121237e-05,0.000304873155683495,4.148348190243272e-06,0.00035387993297779325,0.0060514491683615985,1.9189561869040564e-05,0.00078856649973325,0.0004533814056503307,0.0001397533302142846,-0.0013095511855424694,0.013549574985109112
10,0.037300080828667995,0.0031760740030778566,-0.0012444818055148557,0.0008351630243054242,-0.0015083610083849366,0.003834470649326963,0.013593973332183974,-4.5675864444936645e-05,-2.1315950297497023e-05,6.285175403584903e-05,0.0003274947320550244,-0.0007606909269340858,0.004450873508210197,3.989548837937548e-05,1.1815401424388489e-05,0.00030885679130776415,7.4873585440756604e-06,0.0003623922745146626,0.006068164056174374,2.1295007111076727e-05,0.0007822811176803995,0.0004511016659637494,0.00011923290318005291,-0.0013111194411690827,0.013480725992377204
11,0.03668423834329547,0.003461452339188077,-0.0013589067055303921,0.0009106607517306897,-0.001639053222787494,0.003825486075374442,0.013584374725094363,-5.030623213138623e-05,-2.3561369696387832e-05,6.905903740389182e-05,0.00033112346899058146,-0.0007613182408009731,0.00447277972098812,4.4062081813739254e-05,1.2991913964769955e-05,0.0003128338808764989,1.0840317667832038e-05,0.0003709571733173425,0.006084933964863956,2.339564703374536e-05,0.0007760008259019868,0.0004488377882766684,9.87097402128872e-05,-0.001312718568872071,0.013412215161826613
12,0.036079618536618334,0.003741394872779807,-0.0014716539535682542,0.0009848054651653778,-0.0017663684034562855,0.0038166003675045843,0.013574735798939863,-5.4949653936982105e-05,-2.582673951982548e-05,7.52504811706186e-05,0.00033475479673463686,-0.0007619415639081556,0.0044947928819571185,4.8261470657455715e-05,1.41679422654595e-05,0.000316804806220481,1.4207084762934645e-05,0.00037957500673537555,0.006101759048212261,2.5491622767832607e-05,0.0007697257162824522,0.0004465895961264482,7.818334540615006e-05,-0.0013143486402743725,0.013344040833768315
13,0.03548601532582834,0.0040160013602187385,-0.0015827576333263243,0.001057621831552943,-0.0018903736289841036,0.0038078116325051706,0.01356505746486122,-5.96065228894456e-05,-2.8111888455511427e-05,8.142570136881155e-05,0.00033838902418418376,-0.0007625610098831814,0.00451691358637888,5.249381122641334e-05,1.534358934802017e-05,0.000320769943494776,1.7587521939811124e-05,0.00038824615287396373,0.006118639461536325,2.7583073466876673e-05,0.000763455876200804,0.00044435691568765447,5.765322193821209e-05,-0.0013160097272437948,0.013276201355528261
14,0.034903226400562794,0.0042853697326533475,-0.0016922512134786595,0.001129134062186113,-0.0020111347243943448,0.0037991180116168886,0.013555340617217191,-6.427722715600098e-05,-3.0416649560464422e-05,8.758432431427732e-05,0.00034202645647597,-0.0007631766903409992,0.0045391424316970465,5.675926134575857e-05,1.6518956943193808e-05,0.00032472966328900575,2.0981494165355552e-05,0.00039697099062109434,0.006135575361678954,2.9670136344399992e-05,0.0007571913886174874,0.0004421395757266796,3.7118872073335e-05,-0.001317701901905169,0.013208695081433656
15,0.034331053153834105,0.004549596129421095,-0.0018001675590180821,0.0011993659210316587,-0.002128716284221223,0.0037905176798991667,0.013545586133891403,-6.89621501497382e-05,-3.274086018597764e-05,9.372598639983616e-05,0.00034566739506516843,-0.0007637887149209551,0.00456148001756461,6.105798034599669e-05,1.7694145517236143e-05,0.000328684330735636,2.4388869211353082e-05,0.0004057498996743865,0.006152566906999626,3.175294671047467e-05,0.000750932332159591,0.00043993740755717876,1.6579797162275313e-05,-0.0013194252366523212,0.013141520372798875
16,0.033769300614223584,0.004808774930843173,-0.0019065389423913886,0.0012683407329026483,-0.0022431816951668728,0.003782008845607608,0.01353579487659361,-7.366167063409258e-05,-3.5084361903981e-05,9.985033389316488e-05,0.000349312137802659,-0.0007643971913231142,0.004583926945871164,6.539012905928958e-05,1.8869254297786047e-05,0.0003326343056163156,2.78095176038506e-05,0.00041458326056766467,0.006169614257365658,3.3831638007633394e-05,0.0007446787812044203,0.000437750244996308,-3.964502357386938e-06,-0.0013211798041598709,0.013074675597911067
17,0.03321777737931635,0.005062998790418998,-0.002011397054430977,0.0013360813914809777,-0.0023545931583430885,0.0037735897495828185,0.013525967691155426,-7.837616282547605e-05,-3.744700043478322e-05,0.00010595702273842253,0.0003529609790109473,-0.0007650022253439167,0.004606483820769997,6.975586981594731e-05,2.0044381299277627e-05,0.0003365799424663025,3.124331257345605e-05,0.00042347145469726614,0.0061867175741436116,3.590634184613783e-05,0.0007384308059614691,0.00043557792432174776,-2.451452696118984e-05,-0.0013229656773948557,0.013008159132015428
18,0.03267629555035473,0.005312358666431439,-0.0021147730150866168,0.001402610367192918,-0.00246301171110531,0.0037652586646504146,0.013516105407820658,-8.310599649409469e-05,-3.982862557616842e-05,0.00011204571836158909,0.00035661420955874617,-0.0007656039209111808,0.004629151248705054,7.415536644111061e-05,2.121962334790352e-05,0.00034052159067701255,3.469013000654941e-05,0.0004324148643480871,0.006203877020190959,3.797718803861631e-05,0.000732188472552818,0.00043342028422949905,-4.507077803799709e-05,-0.001324782929628186,0.01294196935730016
19,0.03214467066808762,0.005556943852973562,-0.002216697383961025,0.0014679497149403715,-0.002568497248486317,0.00375701389503201,0.013506208841530315,-8.785153706298581e-05,-4.2229091133822526e-05,0.00011811609547944892,0.0003602721169342435,-0.000766202380118466,0.004651929838437748,7.858878425162153e-05,2.2395076106137737e-05,0.0003444595945967253,3.814984839738875e-05,0.00044141387271937445,0.0062210927598479755,4.004430463408238e-05,0.0007259518430919882,0.000431277165792437,-6.563375789046695e-05,-0.0013266316344459374,0.012876104662881126
20,0.031622721649794204,0.0057968420104074795,-0.0023172001706528427,0.0015321210816904708,-0.002671108544236965,0.003748853775766976,0.01349627879220241,-9.261314570530786e-05,-4.464825485306544e-05,0.00012416783791215167,0.0003639349853170824,-0.0007667977032588082,0.004674820201073644,8.305629005307937e-05,2.357083409682619e-05,0.00034839429362948035,4.162234880109482e-05,0.0004504688639502684,0.006238364958929881,4.210781795134555e-05,0.0007197209757612797,0.00042914841241960895,-8.620396973577843e-05,-0.001328511865760477,0.01281056344478621
21,0.031110270727460285,0.0060321391952657,-0.0024163108449105366,0.00159514571392612,-0.0027709032714811586,0.0037407766721447872,0.013486316045006637,-9.73911794399156e-05,-4.70859783518651e-05,0.00013020063839928463,0.00036760309564907534,-0.000767389988857836,0.004697822950089007,8.755805213707931e-05,2.4746990726852848e-05,0.0003523260223321983,4.510751478749826e-05,0.0004595802231451019,0.006255693784719217,4.41678526118254e-05,0.0007134959248876216,0.00042703386981626275,-0.00010678191770661036,-0.0013304236978214361,0.012745344105939381
22,0.03060714338708629,0.006262919889605187,-0.0025140583466006896,0.001657044464960021,-0.002867938022992126,0.003732780979147745,0.013476321370634032,-0.00010218599122525232,-4.954212705511007e-05,0.00013621419841939212,0.0003712767257036782,-0.0007679793337062816,0.004720938701357225,9.209424027863094e-05,2.5923638310389404e-05,0.000356255110510058,4.860523239583351e-05,0.0004687483363984625,0.006273079405958444,4.6224531571780005e-05,0.0007072767410169619,0.00042493338594459253,-0.00012736810685236934,-0.0013323672052265236,0.012680445056144483
23,0.03011316830910615,0.006489267029824139,-0.00261047109549408,0.0017178378021146803,-0.002962268331096929,0.0037248651209039006,0.01346629552556168,-0.00010699793005159048,-5.2016570130117905e-05,0.00014220822801287803,0.0003749561501542451,-0.0007685658328918975,0.004744168073175113,9.666502573375402e-05,2.7100868091736154e-05,0.0003601818833101635,5.2115390090264024e-05,0.00047797359082002184,0.006290521992842775,4.827797615395948e-05,0.0007010634709872228,0.00042284681098518867,-0.00014796304314066235,-0.001334342462932191,0.012615864712068754
24,0.02962817730989676,0.00671126203495132,-0.0027055770008728914,0.0017775458137708517,-0.003053948687216022,0.003717027550149985,0.013456239252312612,-0.00011182734103165135,-5.4509180423356617e-05,0.00014818244560822947,0.00037864164064108763,-0.0007691495798307885,0.0047675116862890944,0.00010127058123724929,2.827877026776162e-05,0.00036410666131353063,5.563787871622357e-05,0.00048725637455913917,0.00630802171701323,5.032830607869506e-05,0.0006948561579998493,0.0004207739972991791,-0.00016856723345901034,-0.0013363495462641458,0.012551601497226067
